timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625563659085,-2,-3,-5,-5,-7,1,-2,-5
1501625563672094,-1,0,4,1,5,-22,-2,0
1501625563672094,1,-1,1,1,8,22,-3,-3
1501625563681100,-4,1,-3,-4,-13,-15,0,-3
1501625563681100,-1,2,0,1,7,8,-1,1
1501625563696099,2,-5,-1,0,-5,8,1,0
1501625563696099,-2,-3,-1,-2,-2,-10,3,1
1501625563698113,-1,2,-3,-2,0,5,-1,1
1501625563698113,0,4,2,-1,-2,-4,-4,-3
1501625563710106,-2,-5,-1,-2,-3,-12,-5,-2
1501625563710106,-5,-2,1,-2,-1,3,4,3
1501625563719115,2,-1,-2,1,-5,-3,-4,-2
1501625563719115,-2,6,2,1,-1,-1,3,2
1501625563732136,1,-1,-1,-2,2,-1,-1,-3
1501625563732136,0,-3,-1,0,-3,1,-2,-1
1501625563741128,1,3,-3,-3,-7,-13,-2,-1
1501625563741128,-2,1,1,0,4,10,0,2
1501625563756194,-3,-6,0,-1,1,-3,0,-1
1501625563756194,1,-2,0,-2,-1,1,0,0
1501625563758153,-3,4,-1,1,-4,-7,-7,-4
1501625563758153,2,-2,-2,0,0,-1,1,1
1501625563770204,-5,-8,-4,-3,0,7,1,-1
1501625563770204,7,5,1,2,-4,-9,-1,4
1501625563779210,-5,0,-2,1,10,7,-2,-1
1501625563779210,-3,-5,-1,1,6,2,-2,-2
1501625563792270,1,-3,0,-3,-5,-3,1,-2
1501625563792270,-2,0,-3,-1,3,13,1,-4
1501625563801235,-3,-1,-4,-1,-9,-12,0,1
1501625563801235,-4,2,-2,0,-3,-4,-8,-4
1501625563816253,0,-10,-2,-1,1,5,-1,-1
1501625563816253,4,6,1,-2,-5,-22,-2,-1
1501625563818252,0,4,-1,0,6,9,-1,-1
1501625563818252,-2,-4,-3,-4,-7,-6,-2,-2
1501625563830296,-1,-7,0,0,2,-3,-3,-1
1501625563830296,-1,-5,-2,-2,-3,-7,0,-2
1501625563839284,-3,6,-1,2,5,21,1,1
1501625563839284,3,0,2,0,2,4,1,1
1501625563852313,-3,-4,0,0,-3,-6,-2,-1
1501625563852313,1,2,-1,-1,1,4,-5,-4
1501625563861264,-2,3,-4,-2,-13,-12,1,-1
1501625563861264,1,0,-1,-1,4,5,-1,1
1501625563876293,1,-2,1,2,2,-11,1,4
1501625563876293,-1,-4,-2,-1,8,10,0,-4
1501625563878286,0,4,-2,-3,-13,-20,1,2
1501625563878286,-3,-2,-3,-2,2,23,1,-1
1501625563890342,-2,1,0,-4,-5,-4,-6,-5
1501625563890342,-2,-5,-2,2,10,5,-2,-2
1501625563899304,1,1,-4,-3,-5,-2,-1,1
1501625563899304,1,-3,1,2,-2,-5,2,1
1501625563912356,2,3,0,-4,-11,-12,-4,-2
1501625563912356,-2,-3,-2,-2,-4,-13,-2,-2
1501625563921361,3,4,1,2,11,32,8,4
1501625563921361,-4,-3,-2,-4,-11,-18,-5,-2
1501625563936428,0,-6,0,1,2,1,0,2
1501625563936428,-2,-1,-3,-3,-9,-15,-3,-1
1501625563938392,-1,2,-4,-1,0,-4,-2,-4
1501625563938392,1,4,0,1,3,19,12,7
1501625563950382,0,-2,-2,-4,-1,4,-4,-4
1501625563950382,-2,-1,2,0,-7,-5,6,4
1501625563959403,-2,0,-3,-4,-4,-3,-6,-2
1501625563959403,-1,0,-3,-3,6,3,-1,0
1501625563972456,-2,-4,1,0,1,4,-1,-1
1501625563972456,0,-1,3,-1,-8,-3,-3,-3
1501625563981404,2,-2,-5,-4,-2,-4,0,1
1501625563981404,1,7,1,1,-1,1,-6,-2
1501625563995414,-1,-4,-1,0,4,-4,3,-1
1501625563995414,-3,-1,1,-1,-18,-16,-1,-3
1501625564002419,3,0,0,1,14,19,-3,0
1501625564002419,-1,4,-2,-3,-13,-26,0,0
1501625564009438,1,-3,1,2,12,9,-3,1
1501625564009438,-1,-2,-3,-3,-13,-17,5,2
1501625564018445,-4,-1,-1,0,11,10,-5,-3
1501625564018445,-2,1,-3,0,-4,-3,4,-1
1501625564032454,-2,-5,-2,-3,-12,-18,-2,0
1501625564032454,-2,-2,-2,-1,17,22,-3,-2
1501625564041446,-1,1,-1,2,-6,-5,2,5
1501625564041446,-3,-2,-2,0,0,7,-1,-3
1501625564055514,5,-6,-2,-3,-20,-28,-4,-3
1501625564055514,-1,0,3,3,23,19,5,4
1501625564062462,-4,0,-5,-3,-14,-14,-2,-3
1501625564062462,-7,-2,-2,-1,14,20,-6,-2
1501625564069484,-1,-1,-1,0,-2,-4,5,-2
1501625564069484,-1,-2,-1,1,-2,-7,-9,-6
1501625564078472,-2,0,-3,-2,-14,-8,7,2
1501625564078472,1,3,-1,1,-1,-11,1,3
1501625564092541,2,-5,0,-2,1,5,-3,-2
1501625564092541,2,-1,-2,-2,6,-8,-6,-2
1501625564101499,-7,-1,1,2,5,13,0,-9
1501625564101499,3,1,-2,-3,-4,-11,-2,1
1501625564115522,-5,-2,1,2,15,21,2,-2
1501625564115522,5,-2,2,-2,-16,-13,-3,2
1501625564122524,0,7,-4,-1,-13,-26,-6,-5
1501625564122524,1,2,1,1,20,29,3,1
1501625564129509,0,-5,0,-3,-19,-28,-1,0
1501625564129509,-3,-6,-2,-1,16,36,3,-2
1501625564138579,-3,-4,-2,-1,-7,-8,-3,1
1501625564138579,0,5,-1,-4,-19,-28,-3,-4
1501625564152583,-3,3,0,-4,-5,-19,-2,-2
1501625564152583,-5,-7,0,3,26,43,-3,-6
1501625564161531,8,3,-2,-3,-11,-10,9,7
1501625564161531,-6,-7,-5,-1,-2,4,-1,-2
1501625564175578,0,-7,2,0,3,4,-3,3
1501625564175578,4,2,2,-1,-22,-40,-5,-3
1501625564182603,-2,9,2,4,27,25,-4,-2
1501625564182603,-1,-10,-1,-1,6,21,0,3
1501625564198618,-1,1,0,1,-2,-4,-2,-3
1501625564198618,-2,-5,-1,0,5,-5,6,2
1501625564200559,1,1,-4,-2,-6,10,-6,-2
1501625564200559,-9,3,-4,-4,-1,8,2,-2
1501625564212583,8,-6,-1,-1,2,-9,-4,0
1501625564212583,-2,-6,-3,0,-9,-6,2,1
1501625564221591,1,4,0,-3,-11,-25,2,1
1501625564221591,1,4,0,1,9,16,-2,-2
1501625564235641,-6,-8,-3,0,11,28,5,-4
1501625564235641,-4,0,-2,-5,-17,-30,-6,-6
1501625564242645,-6,-3,-3,-2,2,9,0,-3
1501625564242645,4,-2,0,-2,-18,-17,-2,2
1501625564258659,3,0,2,2,9,-6,-4,2
