timestamp,x,y,z,w
1501625769098806,-0.291382,0.490112,-0.82135,-0.0189819
1501625769114796,-0.291382,0.490112,-0.821289,-0.0189819
1501625769137812,-0.291443,0.490112,-0.821289,-0.019043
1501625769158821,-0.291382,0.490112,-0.82135,-0.0189819
1501625769175834,-0.291382,0.490112,-0.821289,-0.0189819
1501625769197855,-0.29126,0.490112,-0.82135,-0.0187378
1501625769218864,-0.291077,0.490234,-0.82135,-0.0183716
1501625769234882,-0.290833,0.490295,-0.821411,-0.0180054
1501625769257897,-0.290527,0.490479,-0.821411,-0.0175781
1501625769278965,-0.290222,0.490662,-0.821411,-0.0170898
1501625769294953,-0.290039,0.490845,-0.821411,-0.0166626
1501625769317964,-0.289734,0.490906,-0.821472,-0.0160522
1501625769339965,-0.289429,0.490967,-0.821594,-0.0155029
1501625769354990,-0.289124,0.49115,-0.821594,-0.0147705
1501625769377982,-0.288818,0.491211,-0.821655,-0.0139771
1501625769400024,-0.288452,0.491455,-0.821655,-0.0131226
1501625769417023,-0.287964,0.491577,-0.821777,-0.0120239
1501625769438131,-0.287415,0.49176,-0.821899,-0.0108032
1501625769460152,-0.286865,0.491943,-0.82196,-0.00952148
1501625769475188,-0.286133,0.492249,-0.822083,-0.00787354
1501625769498182,-0.285278,0.492676,-0.822144,-0.00622559
1501625769520220,-0.284424,0.493042,-0.822205,-0.00427246
1501625769537230,-0.283325,0.493469,-0.822388,-0.00213623
1501625769558216,-0.282104,0.493958,-0.82251,0.000366211
1501625769580235,-0.280823,0.494629,-0.82251,0.00286865
1501625769597271,-0.27948,0.495422,-0.822449,0.00543213
1501625769618267,-0.278015,0.496338,-0.822388,0.00787354
1501625769640304,-0.276672,0.497253,-0.822266,0.0100708
1501625769657293,-0.275452,0.498047,-0.822144,0.0120239
1501625769678308,-0.274475,0.498779,-0.822021,0.0135498
1501625769700432,-0.273743,0.499207,-0.822021,0.0147095
1501625769716448,-0.273193,0.499573,-0.82196,0.0155029
1501625769737486,-0.27301,0.499756,-0.821899,0.0159302
1501625769760474,-0.272949,0.499756,-0.821899,0.0159302
1501625769781550,-0.272949,0.499756,-0.821899,0.0159302
1501625769797533,-0.273193,0.499695,-0.821838,0.0158691
1501625769820634,-0.273499,0.499573,-0.821838,0.0158081
1501625769841660,-0.273865,0.499451,-0.821777,0.0157471
1501625769857637,-0.27417,0.49939,-0.821716,0.0158691
1501625769880646,-0.274353,0.49939,-0.821655,0.0159302
1501625769901665,-0.274353,0.49939,-0.821655,0.0159302
1501625769917702,-0.274353,0.49939,-0.821655,0.0159302
1501625769940689,-0.274353,0.499451,-0.821655,0.0159302
1501625769961732,-0.274353,0.499451,-0.821594,0.0159302
1501625769977746,-0.274353,0.499451,-0.821655,0.0159912
1501625770000743,-0.274292,0.499451,-0.821655,0.0159912
1501625770021775,-0.274292,0.499451,-0.821655,0.0159912
1501625770036816,-0.274292,0.499451,-0.821655,0.0159912
1501625770059831,-0.274292,0.499451,-0.821655,0.0159912
1501625770081846,-0.274292,0.499451,-0.821655,0.0159912
1501625770096858,-0.274292,0.499451,-0.821655,0.0159912
1501625770119957,-0.274292,0.499451,-0.821655,0.0159912
1501625770141943,-0.274292,0.499451,-0.821655,0.0159912
1501625770156953,-0.274292,0.499451,-0.821655,0.0159912
1501625770179999,-0.274292,0.499512,-0.821594,0.0159912
1501625770202015,-0.274292,0.499512,-0.821594,0.0159912
1501625770217025,-0.274292,0.499512,-0.821594,0.0159912
1501625770240012,-0.274292,0.499512,-0.821594,0.0159912
1501625770262058,-0.274292,0.499512,-0.821594,0.0159912
1501625770277068,-0.274231,0.499512,-0.821594,0.0160522
1501625770299084,-0.274231,0.499512,-0.821594,0.0160522
1501625770322078,-0.274109,0.499512,-0.821655,0.0162354
1501625770337081,-0.273987,0.499512,-0.821716,0.0165405
1501625770359097,-0.273743,0.499512,-0.821777,0.0169067
1501625770382113,-0.273499,0.499634,-0.821777,0.0172729
1501625770397153,-0.273193,0.499817,-0.821716,0.0176392
1501625770419139,-0.272888,0.5,-0.821716,0.0179443
